Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,,,Predicted Price
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25 07 Jun,10h 55m,1 stop,No info,,,1.06E+04
IndiGo,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,06:20,10:20,4h,1 stop,No info,,,4.23E+03
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,19:00 22 May,23h 45m,1 stop,In-flight meal not included,,,1.45E+04
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,,,1.26E+04
Air Asia,24/06/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 25 Jun,2h 50m,non-stop,No info,,,3.78E+03
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,12:35 13 Jun,18h 20m,1 stop,In-flight meal not included,,,1.04E+04
Air India,12/03/2019,Banglore,New Delhi,BLR ? TRV ? DEL,07:30,22:35,15h 5m,1 stop,No info,,,1.14E+04
IndiGo,1/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,15:15,20:30,5h 15m,1 stop,No info,,,6.52E+03
IndiGo,15/03/2019,Kolkata,Banglore,CCU ? BLR,10:10,12:55,2h 45m,non-stop,No info,,,4.79E+03
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,No info,,,1.25E+04
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,13:55,18:50 22 Mar,28h 55m,2 stops,In-flight meal not included,,,9.19E+03
IndiGo,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,,,6.43E+03
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,,,1.45E+04
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,10:25,4h 40m,1 stop,No info,,,1.17E+04
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,12:35 04 Jun,17h 20m,1 stop,In-flight meal not included,,,1.31E+04
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,08:15 07 Mar,10h 50m,1 stop,No info,,,1.71E+04
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,,,8.64E+03
Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:55,22:10,12h 15m,1 stop,No info,,,1.34E+04
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 13 Jun,9h 10m,1 stop,In-flight meal not included,,,1.02E+04
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:55,08:15 13 Mar,9h 20m,1 stop,No info,,,1.27E+04
IndiGo,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:45,01:35 07 Mar,14h 50m,1 stop,No info,,,1.47E+04
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 10 May,14h 5m,1 stop,In-flight meal not included,,,1.25E+04
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,09:00 16 Mar,11h 35m,1 stop,In-flight meal not included,,,1.42E+04
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,,,1.40E+04
Air India,6/04/2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,,,4.76E+03
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,04:25 22 Mar,12h 25m,1 stop,In-flight meal not included,,,1.01E+04
IndiGo,15/05/2019,Kolkata,Banglore,CCU ? BLR,15:15,17:45,2h 30m,non-stop,No info,,,4.87E+03
Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,19:00 22 May,25h 30m,1 stop,No info,,,1.31E+04
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,04:25 07 Jun,19h 25m,1 stop,In-flight meal not included,,,1.16E+04
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,21:00,7h,1 stop,No info,,,1.30E+04
Air Asia,3/03/2019,Kolkata,Banglore,CCU ? BLR,22:50,01:20 04 Mar,2h 30m,non-stop,No info,,,5.46E+03
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,13:55,01:35 28 Mar,11h 40m,1 stop,No info,,,7.37E+03
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:30,12:35,7h 5m,2 stops,No info,,,1.44E+04
Jet Airways,12/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,,,6.82E+03
Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,,,5.30E+03
SpiceJet,15/06/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,,,4.11E+03
Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,1h 25m,non-stop,No info,,,5.22E+03
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,23:00,6h 5m,1 stop,No info,,,1.90E+04
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00 10 May,17h 5m,1 stop,In-flight meal not included,,,1.07E+04
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,21:00,10h 40m,1 stop,No info,,,7.55E+03
SpiceJet,12/05/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,,,3.89E+03
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,01:30 16 May,12h 30m,1 stop,No info,,,1.22E+04
SpiceJet,9/06/2019,Mumbai,Hyderabad,BOM ? HYD,22:45,00:15 10 Jun,1h 30m,non-stop,No info,,,2.03E+03
Air India,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,07:40 16 Jun,23h 40m,1 stop,No info,,,8.32E+03
IndiGo,1/05/2019,Kolkata,Banglore,CCU ? PNQ ? BLR,21:00,02:15 02 May,5h 15m,1 stop,No info,,,6.94E+03
SpiceJet,24/03/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,,,4.67E+03
Jet Airways,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,18:50 04 Mar,23h 35m,1 stop,No info,,,1.76E+04
Air India,3/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,,,3.26E+03
Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,22:35 02 Apr,27h 40m,1 stop,No info,,,7.71E+03
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,,,8.30E+03
Air India,12/05/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,13:45 13 May,28h 20m,2 stops,No info,,,1.24E+04
Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,,,1.26E+04
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,13:55,16:20 25 Mar,26h 25m,1 stop,No info,,,1.11E+04
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,11:25,5h 40m,1 stop,No info,,,1.20E+04
SpiceJet,18/06/2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No info,,,3.57E+03
Jet Airways,15/04/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,,,5.70E+03
IndiGo,18/05/2019,Delhi,Cochin,DEL ? BLR ? COK,02:00,07:45,5h 45m,1 stop,No info,,,6.59E+03
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,11:40,19:10,7h 30m,1 stop,In-flight meal not included,,,8.79E+03
